#,,Decisions,,,,,
Test,Symmetries,SP OPT,SP REG,SA,SA-APPROX,Symmetry count,Symmetry usage
FPGA,,,,,,,
fpga10-11-uns-rcr,38,6888,6888,10340,12643,\textbf{2835},12888
fpga10-12-uns-rcr,41,5530,5530,18444,10806,\textbf{2934},23579
fpga10-13-uns-rcr,42,4938,4938,6439,5941,\textbf{4912},6001
fpga10-15-uns-rcr,46,9183,9183,\textbf{5078},\textbf{7930},\textbf{3340},10436
fpga10-20-uns-rcr,57,4498,4498,11730,\textbf{2441},\textbf{3821},6674
fpga11-12-uns-rcr,42,16807,16807,31180,\textbf{13748},\textbf{11576},37733
fpga11-13-uns-rcr,44,19236,19236,28469,\textbf{17737},\textbf{18031},31245
fpga11-14-uns-rcr,46,10843,10843,23120,11448,10880,34927
fpga11-15-uns-rcr,49,9836,9836,19195,19628,10309,63901
fpga11-20-uns-rcr,59,9746,9746,16024,17882,21693,15280
fpga10-8-sat,22,320,320,324,\textbf{274},\textbf{95},\textbf{256}
fpga10-9-sat,23,316,316,454,\textbf{291},\textbf{134},\textbf{267}
fpga12-11-sat,29,524,524,\textbf{448},\textbf{355},576,\textbf{358}
fpga12-12-sat,32,427,427,\textbf{391},516,1902,443
fpga12-8-sat,24,472,472,\textbf{257},524,\textbf{123},\textbf{341}
fpga12-9-sat,25,492,492,\textbf{462},\textbf{364},\textbf{380},\textbf{349}
fpga13-10-sat,28,396,396,426,439,1601,\textbf{337}
fpga13-12-sat,32,365,365,439,586,714,936
fpga13-9-sat,26,696,696,\textbf{456},\textbf{504},1123,\textbf{327}
Battleship,,,,,,,
battleship-05-08-unsat,8,463,463,\textbf{432},760,917,\textbf{366}
battleship-06-09-unsat,7,2358,2358,2719,7537,\textbf{2021},3377
battleship-07-12-unsat,10,295311,295311,335951,333575,\textbf{156740},\textbf{290161}
battleship-10-10-unsat,8,13673,13673,\textbf{4123},20378,\textbf{9593},\textbf{8416}
battleship-12-12-unsat,10,45112,45112,\textbf{31019},100266,83684,\textbf{35496}
battleship-14-14-unsat,-,-,-,-,-,-,-
battleship-15-15-unsat,10,7252565,7252565,-,-,24440731,25683327
battleship-16-16-unsat,17,1476236,1476236,1903910,5697248,\textbf{72253},2134446
battleship-07-13-sat,12,517,517,\textbf{280},\textbf{246},\textbf{57},\textbf{271}
battleship-08-15-sat,14,429,429,\textbf{281},479,\textbf{98},\textbf{345}
battleship-09-17-sat,15,5148,5148,11969,5649,\textbf{942},\textbf{2261}
battleship-10-17-sat,12,143459,143459,273769,\textbf{121449},326230,895459
battleship-10-18-sat,13,6360,6360,\textbf{4576},\textbf{439},\textbf{5250},\textbf{704}
battleship-10-19-sat,15,462,462,\textbf{380},597,496,\textbf{439}
battleship-12-23-sat,18,1034,1034,\textbf{619},3790,1559,7063
battleship-14-26-sat,17,17825596,17825596,\textbf{3213318},\textbf{9047611},\textbf{4053426},\textbf{7994975}
battleship-14-27-sat,19,108042,108042,2152407,1022156,528286,\textbf{48072}
battleship-15-29-sat,22,10058234,10058234,\textbf{8948619},10821621,\textbf{4906891},-
battleship-16-31-sat,25,13477889,13477889,\textbf{1403709},\textbf{7756500},\textbf{5612399},\textbf{2488832}
battleship-24-57-sat,41,779295,779295,\textbf{433013},\textbf{307797},\textbf{269600},3863162
CHNL,,,,,,,
chnl10-11,39,46,46,62,59,3965,46
chnl10-12,41,46,46,60,63,5576,46
chnl10-13,43,46,46,62,69,5245,46
chnl11-12,43,56,56,63,61,11516,56
chnl11-13,45,56,56,62,61,6133,56
chnl11-20,59,56,56,62,61,5659,56
Pigeonhole shuffled,,,,,,,
hole010-shuffled,19,10949,10949,15509,11414,\textbf{9316},\textbf{7429}
hole011-shuffled,21,28315,28315,\textbf{10652},33776,\textbf{20098},61778
hole012-shuffled,23,30992,30992,76074,86330,41986,74861
hole013-shuffled,25,67184,67184,\textbf{121170},402882,140812,722668
hole014-shuffled,27,765810,765810,927090,\textbf{409505},\textbf{387118},2584213
hole015-shuffled,29,7299563,7299563,\textbf{2013874},\textbf{464563},\textbf{3716824},\textbf{3896192}
hole016-shuffled,31,3884224,3884224,4204423,24507327,8115333,-
hole017-shuffled,-,-,-,-,\textbf{19586686},-,-
hole018-shuffled,-,-,-,-,-,-,-
hole019-shuffled,-,-,-,-,-,-,-
hole020-shuffled,-,-,-,-,-,-,-
hole030-shuffled,-,-,-,-,-,-,-
Urquhart,,,,,,,
Urq3-5,29,33,6124,215,174,6124,16152
Urq4-5,43,43,1200,550,291,1200,154157
Urq5-5,72,72,12501650,6249,6167,12501650,36473714
Urq6-5,-,139,-,9283,80535,-,-
Urq7-5,-,145,-,525574,272340,-,-
Urq8-5,-,205,-,-,-,-,-
