Test, Input Symmetries, -rnd-freq=0.02 -activity-nl-freq=1, -rnd-freq=0.02 -activity-nl-freq=1
Urq3_5, 29, 0.0, 33
Urq4_5, 43, 0.0, 43
Urq5_5, 72, 0.0, 74
Urq6_5, 109, 0.004, 138
Urq7_5, -, -, -
Urq8_5, -, -, -
battleship-05-08-unsat, 8, 0.008, 931
battleship-06-09-unsat, 7, 0.008, 1417
battleship-07-12-unsat, 10, 2.30814, 289500
battleship-07-13-sat, 12, 0.0, 242
battleship-08-15-sat, 14, 0.004, 284
battleship-09-17-sat, 15, 0.020001, 2232
battleship-10-10-unsat, 8, 0.264016, 23256
battleship-10-17-sat, 12, 0.576036, 58631
battleship-10-18-sat, 13, 0.016001, 2324
battleship-10-19-sat, 15, 0.004, 394
battleship-12-12-unsat, 10, 0.692043, 51884
battleship-12-23-sat, 18, 0.024001, 2080
battleship-14-14-unsat, 8, 355.462, 14546529
battleship-14-26-sat, 17, 41.6986, 2093424
battleship-14-27-sat, 19, 26.6817, 1213051
battleship-15-15-unsat, 10, 293.798, 10933559
battleship-15-29-sat, 22, 443.828, 13500508
battleship-16-16-unsat, 17, 56.7035, 2024991
battleship-16-31-sat, 25, 76.0288, 2258080
battleship-24-57-sat, 41, 25.7976, 659531
chnl10_11, 39, 0.004, 177
chnl10_12, 41, 0.004, 198
chnl10_13, 43, 0.040002, 2476
chnl11_12, 43, 0.064004, 4717
chnl11_13, 45, 0.156009, 11410
chnl11_20, 59, 0.196012, 9787
fpga10_11_uns_rcr, 38, 0.084005, 6348
fpga10_12_uns_rcr, 41, 0.088005, 5668
fpga10_13_uns_rcr, 42, 0.068004, 4819
fpga10_15_uns_rcr, 46, 0.092005, 5387
fpga10_20_uns_rcr, 57, 0.116007, 5629
fpga10_8_sat, 22, 0.0, 302
fpga10_9_sat, 23, 0.0, 240
fpga11_12_uns_rcr, 42, 0.184011, 13109
fpga11_13_uns_rcr, 44, 0.200012, 12340
fpga11_14_uns_rcr, 46, 0.212013, 12551
fpga11_15_uns_rcr, 49, 0.268016, 14100
fpga11_20_uns_rcr, 59, 0.336021, 13752
fpga12_11_sat, 29, 0.012, 813
fpga12_12_sat, 32, 0.004, 310
fpga12_8_sat, 24, 0.012, 749
fpga12_9_sat, 25, 0.004, 505
fpga13_10_sat, 28, 0.004, 336
fpga13_12_sat, 32, 0.004, 352
fpga13_9_sat, 26, 0.004, 363
hole002, 3, 0.0, 1
hole003, 5, 0.0, 3
hole004, 7, 0.0, 6
hole005, 9, 0.0, 18
hole006, 11, 0.0, 30
hole007, 13, 0.0, 26
hole008, 15, 0.0, 57
hole009, 17, 0.0, 93
hole010, 19, 0.0, 99
hole010_shuffled, 19, 0.064004, 5495
hole011, 21, 0.044002, 3963
hole011_shuffled, 21, 0.220013, 18385
hole012, 23, 0.004, 725
hole012_shuffled, 23, 0.500031, 35260
hole013, 25, 2.45215, 151076
hole013_shuffled, 25, 6.81243, 349285
hole014, 27, 38.5344, 1688143
hole014_shuffled, 27, 30.0899, 1215619
hole015, 29, 1.40409, 80248
hole015_shuffled, 29, 120.408, 3848144
hole016_shuffled, 31, 759.111, 18167175
hole017_shuffled, -, -, -
hole018_shuffled, -, -, -
hole019_shuffled, -, -, -
hole020, -, -, -
hole020_shuffled, -, -, -
hole030, -, -, -
hole030_shuffled, -, -, -
hole040, -, -, -
hole050, -, -, -
hole060, -, -, -
hole070, -, -, -
hole080, -, -, -
hole090, -, -, -
hole100, -, -, -
hole150, -, -, -
x1_40.shuffled, 41, 0.472029, 69704
x1_80.shuffled, 80, 278.813, 23468041

